         t              x              v
  4.550000      -0.063724       0.300839
  4.560000      -0.060638       0.316244
  4.570000      -0.057402       0.330845
  4.580000      -0.054024       0.344605
  4.590000      -0.050512       0.357490
  4.600000      -0.046877       0.369468
  4.610000      -0.043126       0.380509
  4.620000      -0.039270       0.390588
  4.630000      -0.035318       0.399679
  4.640000      -0.031280       0.407760
  4.650000      -0.027166       0.414814
  4.660000      -0.022987       0.420822
  4.670000      -0.018753       0.425772
  4.680000      -0.014475       0.429651
  4.690000      -0.010164       0.432453
  4.700000      -0.005829       0.434171
  4.710000      -0.001484       0.434802
  4.720000       0.002863       0.434346
  4.730000       0.007200       0.432806
  4.740000       0.011515       0.430186
  4.750000       0.015800       0.426496
  4.760000       0.020042       0.421745
  4.770000       0.024231       0.415946
  4.780000       0.028357       0.409116
  4.790000       0.032410       0.401272
  4.800000       0.036379       0.392435
  4.810000       0.040256       0.382628
  4.820000       0.044029       0.371877
  4.830000       0.047690       0.360208
  4.840000       0.051230       0.347653
  4.850000       0.054640       0.334242
  4.860000       0.057912       0.320009
  4.870000       0.061038       0.304991
  4.880000       0.064009       0.289224
  4.890000       0.066820       0.272748
  4.900000       0.069462       0.255605
  4.910000       0.071930       0.237836
  4.920000       0.074217       0.219485
  4.930000       0.076318       0.200598
  4.940000       0.078227       0.181221
  4.950000       0.079941       0.161402
  4.960000       0.081454       0.141189
  4.970000       0.082763       0.120632
  4.980000       0.083866       0.099780
  4.990000       0.084758       0.078686
  5.000000       0.085439       0.057400
  5.010000       0.085906       0.035974
  5.020000       0.086158       0.014461
  5.030000       0.086195      -0.007088
  5.040000       0.086016      -0.028618
  5.050000       0.085623      -0.050075
  5.060000       0.085015      -0.071404
  5.070000       0.084195      -0.092549
  5.080000       0.083165      -0.113458
  5.090000       0.081927      -0.134076
  5.100000       0.080485      -0.154350
  5.110000       0.078841      -0.174229
  5.120000       0.077002      -0.193663
  5.130000       0.074970      -0.212601
  5.140000       0.072751      -0.230996
  5.150000       0.070352      -0.248802
  5.160000       0.067777      -0.265972
  5.170000       0.065035      -0.282464
  5.180000       0.062131      -0.298236
  5.190000       0.059072      -0.313250
  5.200000       0.055868      -0.327466
  5.210000       0.052526      -0.340850
  5.220000       0.049054      -0.353370
  5.230000       0.045461      -0.364993
  5.240000       0.041757      -0.375692
  5.250000       0.037951      -0.385440
  5.260000       0.034052      -0.394214
  5.270000       0.030070      -0.401993
  5.280000       0.026015      -0.408758
  5.290000       0.021898      -0.414495
  5.300000       0.017729      -0.419188
  5.310000       0.013518      -0.422829
